xyz is the request number for accommodation. What is the status?,Accomodation
How do I revise my workspace to reduce transmission risks?,AdditionalWorkplaceHygiene
do I need to provide PPE to customers?,AdditionalWorkplaceHygiene
what can I do to decrease the spread of disease in my workplace?,AdditionalWorkplaceHygiene
any additional tips to decrease spread?,AdditionalWorkplaceHygiene
what can I do at the office to decrease spread?,AdditionalWorkplaceHygiene
do dogs and cats get sick from corona virus?,AnimalContact
can I get covid-19 from my pet?,AnimalContact
can I get this from my cat?,AnimalContact
Should I avoid contact with pets or other animals if I am sick with COVID-19?,AnimalContact
can I get this from my dog?,AnimalContact
Animal contact,AnimalContact
can my dog catch corona virus?,AnimalContact
Should I avoid funerals?,AttendingFuneral
Can I go to a funeral? ,AttendingFuneral
Can I go to a funeral of someone who died of  Corona Virus (COVID-19)?,AttendingFuneral
Are funerals safe? ,AttendingFuneral
Am I at risk if I go to a funeral or visitation service for someone who died of COVID-19?,AttendingFuneral
I need accommodation and how do I book it,Book_accomodation_Office_Facility
can I get accommodation,Book_accomodation_Office_Facility
What is the center for disease control doing to help?,CDC_Response
CDC response,CDC_Response
Does CDC work to protect public health?,CDC_Response
How is CDC helping Americans prepare?,CDC_Response
What is CDC doing about COVID-19?,CDC_Response
are facemasks recommended for children,ChildrenAndFaceMasks
can my child play outside without a mask?,ChildrenAndFaceMasks
does my daughter need to wear a facemask?,ChildrenAndFaceMasks
Children and facemasks,ChildrenAndFaceMasks
Should children wear masks?,ChildrenAndFaceMasks
Can my kid still go to group activities?,ChildrenSocializing
do kids need to limit in person contact?,ChildrenSocializing
"While school’s out, can my child hang out with their friends?",ChildrenSocializing
Children socializing,ChildrenSocializing
Is social distancing important for kids too?,ChildrenSocializing
While school is out can my child go to sports practice?,ChildrenSocializing
Can community spread happen? ,CommunitySpread
Community Spread,CommunitySpread
What is community spread?,CommunitySpread
What does that term community spread mean?,CommunitySpread
Does  Corona Virus (COVID-19) spread to an entire community?,CommunitySpread
How does community spread happen? ,CommunitySpread
Why is community spread of this virus important?,CommunitySpread
Is my workplace a critical business?,CriticalBusinesses
Which businesses are deemed critical?,CriticalBusinesses
How do I find out if my business is considered essential?,CriticalBusinesses
which businesses are thought of as critical?,CriticalBusinesses
How do I know if my business is considered critical?,CriticalBusinesses
Is this true?,DataSource
Where did you learn this?,DataSource
Is this information accurate?,DataSource
Are you sure?,DataSource
How do you know this?,DataSource
Where do you get your information?,DataSource
how should i disinfect my home?,DisinfectingSurfaces
How do I clean my home to remove virus molecules,DisinfectingSurfaces
Do I need to clean with bleach?,DisinfectingSurfaces
What cleaning products should I use to protect against COVID-19?,DisinfectingSurfaces
what products are best at disinfecting?,DisinfectingSurfaces
Where do i need to disinfect?,DisinfectingSurfaces
Disinfecting surfaces,DisinfectingSurfaces
How do I clean and disinfect machinery or equipment?,DisinfectingTheWorkplace
how do we keep the customer area disinfected?,DisinfectingTheWorkplace
how much extra cleaning should I do?,DisinfectingTheWorkplace
what areas do I need to disinfect?,DisinfectingTheWorkplace
any cleaning recommendations?,DisinfectingTheWorkplace
can my employer require a doctor's note?,DocumentEmployeeIllness
can I go back to work without a doctor's note?,DocumentEmployeeIllness
do I need to get a doctor's excuse if I test positive?,DocumentEmployeeIllness
Does an employee need to bring a doctor's note ?,DocumentEmployeeIllness
do I need to prove I am covid free to return to work?,DocumentEmployeeIllness
do I need to quarantine the area where a sick person worked?,EmployeeShowsSymptoms
what if someone i work with is sick?,EmployeeShowsSymptoms
how do I disinfect if a sick person showed up at work?,EmployeeShowsSymptoms
What should I do if an employee shows symptoms of Covid-19?,EmployeeShowsSymptoms
if an employee seems like they might have covid,EmployeeShowsSymptoms
what if an employee tests positive after they have been reporting to work?,EmployeeTestsPositive
how to respond to possible exposure at work?,EmployeeTestsPositive
how to disinfect the workplace after someone has been ill?,EmployeeTestsPositive
someone I worked with is now sick. do I need to disinfect the office?,EmployeeTestsPositive
my employee came to work then got sick. now what do I do?,EmployeeTestsPositive
My spouse had covid. Can I go back to work anyway?,ExposedEmployees
how long should I stay home from work after being near someone with covid?,ExposedEmployees
can i return to work even though my housemate has covid?,ExposedEmployees
should i stay home from work if I've been in contact with a covid patient?,ExposedEmployees
should my employees stay home from work if they are exposed to covid?,ExposedEmployees
no thank you,goodbyes
youre welcome now bye,goodbyes
shut up,goodbyes
thanks for your help,goodbyes
be quiet robot,goodbyes
done,goodbyes
dont need your help at all,goodbyes
good bye hohoho,goodbyes
goodbye joto,goodbyes
got to go bye nice time talking to you,goodbyes
gtg go right now ok,goodbyes
stop,goodbyes
ok thank you,goodbyes
ok thank you for your time,goodbyes
ok thanks,goodbyes
o thank u,goodbyes
i am done with you,goodbyes
talk to you later,goodbyes
bye im going to play a game,goodbyes
thx,goodbyes
ty,goodbyes
ttyl,goodbyes
thanks,goodbyes
toodles,goodbyes
then bye,goodbyes
thank you,goodbyes
thanks watson,goodbyes
talk to you soon,goodbyes
see ya later,goodbyes
